,datetime,datenum,avg_power,max_power,avg_energy,minute_diff,energy_diff,out_humid,out_temp,out_light,next_humid,next_temp,next_heatindex,predicted_time_diff
633,22-Sep-2021 17:14:00,738421.718055556,2636.13,2649.4,113.85,9,0.0500000000000114,77.9888888888889,29.1240740740741,439.444444444444,73.4537037037037,25.6407407407407,26.6364814814815,10.329411
634,22-Sep-2021 17:23:00,738421.724305556,2716.9,2723.7,113.9,11,0.129999999999995,78.7590909090909,28.9681818181818,277.318181818182,75.8469696969697,25.6727272727273,26.9107575757576,10.650242
635,22-Sep-2021 17:34:00,738421.731944444,2627.65,2638.0,114.03,10,0.0799999999999983,79.1933333333333,28.81,223.583333333333,75.325,25.5183333333333,26.4626666666667,10.639917
636,22-Sep-2021 17:44:00,738421.738888889,2652.43,2705.3,114.11,12,0.0999999999999943,80.2097222222222,28.6527777777778,124.652777777778,75.1888888888889,25.5097222222222,26.4318055555556,10.661058
637,22-Sep-2021 17:56:00,738421.747222222,2594.63,2632.3,114.21,9,0.0500000000000114,81.2277777777778,28.5444444444444,51.537037037037,74.5018518518519,25.4944444444445,26.3092592592593,10.67025
638,22-Sep-2021 18:05:00,738421.753472222,1869.93,80.4,114.26,12,0.11999999999999,81.3666666666667,28.3555555555556,17.4444444444444,74.8986111111111,25.5027777777778,26.4361111111111,10.666761
639,22-Sep-2021 18:17:00,738421.761805556,2571.9,2603.7,114.38,13,0.0500000000000114,82.3679487179487,28.2128205128205,1.69230769230769,73.8076923076923,25.4538461538462,26.2441025641026,10.701754
640,22-Sep-2021 18:30:00,738421.770833333,2540.13,2736.0,114.43,12,0.0899999999999892,82.6472222222222,28.1986111111111,0.0,73.9541666666667,25.4722222222222,26.2608333333333,10.74321
641,22-Sep-2021 18:42:00,738421.779166667,2719.07,2805.8,114.52,14,0.120000000000005,86.0178571428571,27.6738095238095,0.0,75.1440476190476,25.5083333333333,26.4325,11.234875
642,22-Sep-2021 18:56:00,738421.788888889,2493.67,2545.3,114.64,11,0.0799999999999983,94.0,25.769696969697,0.0,76.7030303030303,25.5121212121212,26.4889393939394,12.2248
643,22-Sep-2021 19:07:00,738421.796527778,2501.7,2583.9,114.72,13,0.0600000000000023,93.0897435897436,25.2487179487179,0.0,75.9205128205128,25.4051282051282,26.194358974359,11.987316
644,22-Sep-2021 19:20:00,738421.805555556,2570.77,2678.5,114.78,13,0.0799999999999983,92.7782051282051,25.3935897435897,0.0,76.1166666666667,25.4487179487179,26.3089743589744,11.95771
645,22-Sep-2021 19:33:00,738421.814583333,2574.2,2688.8,114.86,13,0.120000000000005,92.8282051282051,25.4051282051282,0.0,76.3717948717949,25.398717948718,26.2942307692308,12.014357
646,22-Sep-2021 19:46:00,738421.823611111,2438.2,2474.5,114.98,18,0.0699999999999932,93.3194444444444,25.4407407407407,0.0,75.5287037037037,25.3324074074074,26.005,12.067175
647,30-Sep-2021 10:48:00,738429.45,2919.97,2984.1,145.04,12,0.29000000000002,63.6527777777778,33.2013888888889,2154.63888888889,63.6361111111111,23.9819444444444,24.0980555555556,9.834928
648,30-Sep-2021 11:00:00,738429.458333333,2721.4,2751.9,145.33,17,0.389999999999986,63.4455445544554,33.1980198019802,1959.06930693069,68.2186274509804,24.6176470588235,24.9163725490196,9.898981
649,30-Sep-2021 11:17:00,738429.470138889,2894.2,2911.3,145.72,7,0.169999999999987,62.9095238095238,32.7761904761905,1492.02380952381,71.6023809523809,25.2571428571428,25.7066666666667,9.728498
650,30-Sep-2021 11:24:00,738429.475,2692.6,2706.7,145.89,20,0.310000000000002,63.8308333333333,32.6425,1473.99166666667,64.5508333333333,24.6591666666667,24.8658333333333,9.481886
651,30-Sep-2021 11:44:00,738429.488888889,2835.5,2859.9,146.2,6,0.0800000000000125,63.2916666666667,32.625,1519.41666666667,62.9916666666667,24.3805555555555,24.5188888888889,9.42351
652,30-Sep-2021 11:50:00,738429.493055556,2699.5,2803.1,146.28,7,0.0999999999999943,64.9261904761905,32.4452380952381,1200.78571428571,60.8071428571428,24.2095238095238,24.2726190476191,9.443062
653,30-Sep-2021 11:57:00,738429.497916667,2649.4,2690.5,146.38,7,0.0999999999999943,64.4928571428571,32.4761904761905,1278.0,60.9780487804878,24.2512195121951,24.3239024390244,9.4014845
654,30-Sep-2021 12:04:00,738429.502777778,2641.0,2652.0,146.48,6,0.0700000000000216,64.7861111111111,32.4083333333333,1131.86111111111,61.2333333333333,24.1416666666667,24.21,9.486957
655,30-Sep-2021 12:10:00,738429.506944444,2597.4,2622.5,146.55,6,0.0699999999999932,64.9722222222222,32.3416666666667,953.888888888889,60.7027777777778,24.0805555555556,24.1294444444444,9.473794
656,30-Sep-2021 12:16:00,738429.511111111,2648.0,2742.4,146.62,13,0.219999999999999,65.4474358974359,32.1461538461538,620.769230769231,61.5397435897436,24.0538461538462,24.1207692307692,9.555801
657,30-Sep-2021 12:29:00,738429.520138889,2610.8,2639.9,146.84,6,0.0699999999999932,72.4361111111111,31.5527777777778,673.972222222222,63.0055555555556,24.0472222222222,24.1527777777778,10.2428665
658,30-Sep-2021 12:35:00,738429.524305556,2696.43,2765.4,146.91,7,0.110000000000014,78.8261904761905,30.4666666666667,1027.69047619048,62.7071428571428,23.9785714285714,24.0692857142857,10.633103
659,30-Sep-2021 12:42:00,738429.529166667,2543.13,2579.9,147.02,7,0.0900000000000034,80.4119047619048,29.7666666666667,1559.28571428571,63.102380952381,23.9690476190476,24.0692857142857,10.673682
660,30-Sep-2021 12:49:00,738429.534027778,2541.47,2600.5,147.11,7,0.089999999999975,80.55,30.1738095238095,1467.5,63.1452380952381,23.9666666666667,24.067380952381,10.778225
661,30-Sep-2021 12:56:00,738429.538888889,2550.45,2560.2,147.2,7,0.100000000000023,79.9119047619048,30.3166666666666,1653.38095238095,63.1404761904762,23.9166666666667,24.012380952381,10.771487
662,30-Sep-2021 13:03:00,738429.54375,2547.45,2553.1,147.3,7,0.089999999999975,80.5380952380952,30.597619047619,1864.92857142857,64.5452380952381,23.797619047619,23.9180952380952,11.076348
663,30-Sep-2021 13:10:00,738429.548611111,2556.6,2572.3,147.39,6,0.0500000000000114,79.3361111111111,30.4888888888889,1776.33333333333,64.0777777777778,23.8194444444444,23.93,10.87784
664,30-Sep-2021 13:16:00,738429.552777778,2662.23,2746.1,147.44,7,0.0999999999999943,78.5857142857143,30.4857142857143,1585.21428571429,63.8071428571428,23.8214285714286,23.9252380952381,10.777172
665,30-Sep-2021 13:23:00,738429.557638889,2595.03,2737.2,147.54,8,0.120000000000005,76.8770833333333,29.8083333333333,1734.72916666667,63.83125,23.7958333333333,23.8970833333333,10.448349
666,30-Sep-2021 13:31:00,738429.563194444,2549.6,2571.5,147.66,7,0.0800000000000125,77.1238095238095,29.4523809523809,1236.40476190476,64.6452380952381,23.8380952380952,23.9657142857143,10.4333515
667,30-Sep-2021 13:38:00,738429.568055556,2576.5,2600.3,147.74,7,0.0600000000000023,77.2523809523809,29.7095238095238,1341.7380952381,64.4928571428572,23.75,23.8642857142857,10.538489
668,30-Sep-2021 13:45:00,738429.572916667,2603.77,2784.4,147.8,8,0.119999999999976,78.1833333333333,29.5645833333333,693.395833333333,64.3479166666667,23.7354166666667,23.844375,10.592031
