,datetime,datenum,avg_power,max_power,avg_energy,minute_diff,energy_diff,out_humid,out_temp,out_light,next_humid,next_temp,next_heatindex,predicted_time_diff
1,17-Nov-2021 10:19:00,738477.429861111,2876.1,3061.0,328.97,12,0.0799999999999841,67.0652777777778,31.0180555555556,54612,63.1388888888889,26.175,27.1590277777778,8.583913
2,17-Nov-2021 10:31:00,738477.438194444,2832.13,2914.2,329.05,13,0.0999999999999659,64.4141025641026,31.5115384615385,54612,65.3307692307692,25.5384615384615,25.8629487179487,8.914941
3,17-Nov-2021 10:44:00,738477.447222222,2751.1,2837.7,329.15,9,0.0600000000000023,62.012962962963,31.8722222222222,54612,65.9481481481481,25.3092592592593,25.6177777777778,8.920608
4,17-Nov-2021 10:53:00,738477.453472222,2817.57,2888.5,329.21,14,0.110000000000014,60.2869047619048,32.2785714285714,54612,66.1083333333333,25.202380952381,25.5038095238095,8.880517
5,17-Nov-2021 11:07:00,738477.463194444,2786.23,2813.9,329.32,11,0.0799999999999841,56.7378787878788,32.7242424242424,54612,65.7287878787879,25.15,25.4368181818182,8.529936
6,17-Nov-2021 11:18:00,738477.470833333,2806.6,2920.2,329.4,11,0.0600000000000023,55.25,33.0833333333333,54612,67.2378787878788,25.1636363636364,25.4909090909091,8.53932
7,17-Nov-2021 11:29:00,738477.478472222,2018.7,86.1,329.46,13,0.120000000000005,55.0858974358974,33.2833333333333,54612,66.3833333333333,25.1435897435897,25.4471794871795,8.497532
8,17-Nov-2021 11:42:00,738477.4875,2769.1,2799.1,329.58,13,0.0800000000000409,53.8948717948718,33.6448717948718,54612,66.5666666666667,25.0846153846154,25.3864102564103,8.466626
9,17-Nov-2021 11:55:00,738477.496527778,2832.13,2893.1,329.66,23,0.0999999999999659,53.7333333333333,33.6811594202899,54612,66.586231884058,25.0775362318841,25.379347826087,8.459036
10,17-Nov-2021 12:18:00,738477.5125,2864.03,2935.6,329.76,11,0.0500000000000114,52.5892307692308,33.7476923076923,54612,67.2712121212121,25.3924242424243,25.7433333333333,8.239153
11,17-Nov-2021 12:29:00,738477.520138889,2020.6,83.2,329.81,14,0.120000000000005,52.3928571428571,33.9559523809524,54612,68.010843373494,26.0072289156627,27.2084337349398,8.033006
12,17-Nov-2021 12:43:00,738477.529861111,2866.1,2913.2,329.93,12,0.0999999999999659,50.1097222222222,33.9861111111111,54612,68.3402777777778,26.4125,27.8183333333333,7.72727
13,17-Nov-2021 12:55:00,738477.538194444,2813.27,2892.4,330.03,11,0.07000000000005,49.9257575757576,33.8166666666667,54612,68.6939393939394,26.6742424242424,28.2340909090909,7.6680813
14,17-Nov-2021 13:06:00,738477.545833333,2943.87,3080.4,330.1,12,0.0999999999999659,51.0069444444444,33.7236111111111,54612,68.8722222222222,26.9,28.6004166666667,7.622492
