year,month,day,hour,minute,out_humid,out_temp,out_light,next_humid,next_temp,next_heatindex,main_humid,main_temp,main_count,deci_hours,PMV,PPD,predicted_PMV
2021,9,18,19,15,74.95,30.6133333333333,0.0,75.1266666666667,25.4933333333333,26.2983333333333,70.3304347826087,27.1478260869565,1.0,19.25,0.12,5.3,0.13809149
2021,9,18,19,20,74.3266666666667,30.6333333333333,0.0,70.7666666666667,25.2933333333333,25.748,72.0956521739131,27.1565217391304,1.0,19.3333333333333,0.14,5.4,0.11282466
2021,9,18,19,25,74.4766666666666,30.6166666666667,0.0,74.2766666666667,25.3566666666667,25.8866666666667,70.0380952380952,27.1142857142857,1.0,19.4166666666667,0.11,5.2,0.12169503
2021,9,18,19,30,74.9433333333333,30.5966666666667,0.0,74.2333333333333,25.5066666666667,26.3313333333333,71.8458333333333,27.1791666666667,1.0,19.5,0.14,5.4,0.12596543
2021,9,18,19,35,74.7133333333334,30.6,0.0,72.0966666666666,25.2066666666667,25.665,70.904,27.104,1.0,19.5833333333333,0.11,5.2,0.10098087
2021,9,18,19,40,74.7566666666667,30.58,0.0,75.4433333333333,25.5166666666667,26.3536666666667,70.5045454545455,27.15,1.0,19.6666666666667,0.11,5.2,0.113196604
2021,9,18,19,45,76.0033333333333,30.4866666666667,0.0,71.6466666666667,25.1833333333333,25.627,72.0791666666667,27.1083333333333,1.0,19.75,0.11,5.3,0.09886188
2021,9,18,19,50,80.1633333333334,30.15,0.0,75.41,25.4733333333333,26.2823333333333,70.4782608695652,27.1304347826087,1.0,19.8333333333333,0.1,5.2,0.1266405
2021,9,18,19,55,83.3833333333333,29.75,0.0,72.2433333333333,25.2066666666667,25.713,72.6478260869565,27.1565217391304,1.0,19.9166666666667,0.12,5.3,0.11136688
2021,9,18,20,0,85.3633333333333,29.38,0.0,75.0566666666667,25.3433333333333,25.8923333333333,71.1869565217391,27.0434782608696,1.0,20.0,0.08,5.1,0.09625771
2021,9,18,20,5,86.1266666666667,29.27,0.0,73.71,25.39,26.1216666666667,73.1347826086957,27.1347826086957,1.0,20.0833333333333,0.11,5.3,0.09693663
2021,9,18,20,10,86.7533333333333,29.21,0.0,74.1866666666667,25.24,25.7563333333333,72.3136363636364,27.0636363636364,1.0,20.1666666666667,0.09,5.2,0.085834384
2021,9,18,20,15,88.1533333333334,28.9866666666667,0.0,74.7733333333333,25.4566666666667,26.1776666666667,72.2416666666667,27.1375,1.0,20.25,0.1,5.2,0.08812585
2021,9,18,20,20,88.7266666666666,28.9133333333333,0.0,73.2933333333333,25.2,25.689,73.1181818181818,27.1090909090909,1.0,20.3333333333333,0.09,5.2,0.07685156
2021,9,18,20,25,89.8333333333333,28.7266666666667,0.0,75.4766666666667,25.5,26.2896666666667,72.0,27.1,1.0,20.4166666666667,0.08,5.1,0.07975595
2021,9,18,20,30,90.31,28.7666666666666,0.0,72.1833333333333,25.1566666666667,25.6123333333333,73.5,27.075,1.0,20.5,0.08,5.1,0.054045215
2021,9,18,20,35,89.9433333333333,28.7466666666667,0.0,75.8,25.45,26.0903333333333,71.0,27.0727272727273,1.0,20.5833333333333,0.05,5.1,0.068847515
2021,9,18,20,40,91.2733333333333,28.7066666666667,0.0,72.8533333333333,25.2433333333333,25.725,74.0636363636364,27.1090909090909,1.0,20.6666666666667,0.09,5.2,0.061694592
2021,9,18,20,45,91.0,28.7033333333334,0.0,77.0033333333333,25.4466666666667,26.3956666666667,71.875,27.0,1.0,20.75,0.04,5.0,0.06600439
2021,9,18,20,50,91.24,28.7266666666666,0.0,73.95,25.3266666666667,25.9733333333333,74.225,27.05,1.0,20.8333333333333,0.07,5.1,0.061735585
2021,9,18,20,55,90.36,28.8566666666667,0.0,75.4166666666667,25.2766666666667,25.8486666666667,71.94,26.93,1.0,20.9166666666667,0.02,5.0,0.048926603
2021,9,18,21,0,90.16,28.9,0.0,75.03,25.4133333333333,26.1863333333333,74.2,27.05,1.0,21.0,0.06,5.1,0.051645376
2021,9,18,21,5,89.83,28.8366666666667,0.0,73.9166666666667,25.1866666666667,25.6903333333333,72.75,26.95,1.0,21.0833333333333,0.02,5.0,0.03673148
2021,9,18,21,10,90.6,28.7,0.0,75.4366666666667,25.5933333333334,26.6703333333333,71.4,26.95,1.0,21.1666666666667,0.0,5.0,0.042520005
2021,9,18,21,15,90.4366666666667,28.6866666666667,0.0,75.78,25.8433333333333,27.2443333333334,73.4625,26.9375,1.0,21.25,0.01,5.0,0.040164314
2021,9,18,21,20,90.8,28.6766666666667,0.0,75.9366666666667,25.8966666666667,27.338,72.52,27.04,1.0,21.3333333333333,0.02,5.0,0.03734328
2021,9,18,21,25,90.3233333333333,28.64,0.0,76.14,25.9166666666667,27.3793333333333,74.26,27.02,1.0,21.4166666666667,0.03,5.0,0.031454377
2021,9,18,21,30,90.8166666666667,28.6266666666667,0.0,76.41,25.9866666666667,27.5073333333333,74.6125,27.0875,1.0,21.5,0.04,5.0,0.029950112
2021,9,18,21,35,90.35,28.69,0.0,76.5766666666666,26.0333333333333,27.5956666666667,74.9142857142857,27.0285714285714,1.0,21.5833333333333,0.03,5.0,0.028633017
2021,9,18,21,40,90.3833333333334,28.6366666666667,0.0,76.7733333333333,26.1,27.7213333333333,75.1333333333333,27.1,1.0,21.6666666666667,0.04,5.0,0.023316119
2021,9,18,21,45,90.2833333333333,28.66,0.0,76.9033333333333,26.1,27.7273333333333,75.0777777777778,27.0333333333333,1.0,21.75,0.02,5.0,0.019493952
2021,9,18,21,50,90.2966666666667,28.6333333333334,0.0,77.09,26.1366666666667,27.802,73.76,26.98,1.0,21.8333333333333,-0.01,5.0,0.014055327
