datetime,avg_power,max_power,avg_energy,minute_diff,energy_diff,energy_start,energy_stop,out_humid,out_temp,out_light,next_humid,next_temp,next_heatindex
19-Nov-2021 11:00:00,2671.73,2714.6,340.37,23,0.0600000000000023,340.37,340.43,63.1224637681159,32.2876811594203,54612,64.3115942028985,25.0666666666667,25.3080434782609
19-Nov-2021 11:23:00,1908.1,87.2,340.43,17,0.120000000000005,340.43,340.55,61.5519607843137,32.3107843137255,54612,65.5088235294118,25.0833333333333,25.3580392156863
19-Nov-2021 11:40:00,2824.75,2895.4,340.55,90,0.159999999999968,340.55,340.71,57.3771799628943,33.391651205937,54612,64.352319109462,24.9293135435993,25.1580333951763
19-Nov-2021 13:10:00,2946.6,2965.2,340.71,18,0.100000000000023,340.71,340.81,55.5018518518519,33.6370370370371,54612,64.6657407407407,24.9861111111111,25.2289814814815
19-Nov-2021 13:28:00,2801.75,2996.6,340.81,19,0.120000000000005,340.81,340.93,54.6061403508772,33.7412280701754,54612,64.5973684210526,24.9017543859649,25.1341228070175
19-Nov-2021 13:47:00,2780.55,2814.6,340.93,29,0.0999999999999659,340.93,341.03,54.2862068965517,33.9201149425287,54612,65.9620689655172,25.0373563218391,25.3187931034483
19-Nov-2021 14:16:00,2978.3,3222.9,341.03,34,0.130000000000052,341.03,341.16,53.6083333333333,34.1357843137255,54612,66.5960784313725,25.0088235294118,25.304362745098
19-Nov-2021 14:50:00,2844.3,2925.1,341.16,10,0.0399999999999636,341.16,341.2,53.7416666666667,34.165,54612,70.7133333333333,25.3866666666667,25.8625
19-Nov-2021 15:00:00,1993.67,82.2,341.2,6,0.0900000000000318,341.2,341.29,54.4638888888889,34.2444444444444,54612,70.6972222222222,25.8277777777778,27.0705555555555
19-Nov-2021 15:06:00,2921.45,2988.8,341.29,8,0.120000000000005,341.29,341.41,53.2958333333333,34.5,54612,70.2083333333333,26.0958333333333,27.4422916666667
19-Nov-2021 15:14:00,2792,2868.9,341.41,9,0.119999999999948,341.41,341.53,52.1462962962963,34.3740740740741,54612,69.8851851851852,26.3944444444444,27.8746296296296
19-Nov-2021 15:23:00,2959.57,3306,341.53,10,0.110000000000014,341.53,341.64,52.6866666666667,34.125,54612,69.76,26.6,28.1861666666667
19-Nov-2021 15:33:00,2883.63,2943.3,341.64,11,0.129999999999995,341.64,341.77,52.8045454545455,34.0939393939394,54612,69.6454545454546,26.7818181818182,28.4675757575758
19-Nov-2021 15:44:00,3005.13,3304.1,341.77,11,0.129999999999995,341.77,341.9,52.7227272727273,34.1984848484848,54612,69.5954545454545,26.9363636363636,28.7163636363636
19-Nov-2021 15:55:00,2913.1,3165.7,341.9,11,0.120000000000005,341.9,342.02,52.9769230769231,34.2276923076923,54612,69.5106060606061,27.0636363636364,28.9207575757576
19-Nov-2021 16:06:00,2875.8,2963.3,342.02,11,0.129999999999995,342.02,342.15,53.1515151515151,34.2772727272727,54612,69.6569230769231,27.1646153846154,29.1055384615385
19-Nov-2021 16:17:00,2843.55,2854.8,342.15,11,0.0800000000000409,342.15,342.23,53.430303030303,34.0818181818182,54612,69.8651515151515,27.3272727272727,29.4057575757576
19-Nov-2021 16:28:00,2978.75,3008.1,342.23,12,0.129999999999995,342.23,342.36,53.8277777777778,33.95,54612,70.0597222222222,27.4847222222222,29.7091666666667
19-Nov-2021 16:40:00,2946.17,3052,342.36,12,0.120000000000005,342.36,342.48,55.0277777777778,33.7083333333333,54612,70.4986111111111,27.6,29.9688888888889
19-Nov-2021 16:52:00,2847.23,3004.4,342.48,13,0.120000000000005,342.48,342.6,55.9428571428572,33.4792207792208,54612,70.8128205128205,27.6884615384615,30.170641025641
19-Nov-2021 17:05:00,3012.25,3157.5,342.6,13,0.139999999999986,342.6,342.74,56.8217948717949,33.2833333333334,54612,70.7397435897436,27.7628205128205,30.3035897435897
19-Nov-2021 17:18:00,2821.93,2909.5,342.74,13,0.089999999999975,342.74,342.83,57.4217948717949,33.1346153846154,54612,70.5038461538462,27.7948717948718,30.3370512820513
19-Nov-2021 17:31:00,2862.7,3007.8,342.83,14,0.150000000000034,342.83,342.98,57.9142857142857,32.9630952380952,54612,70.4845238095238,27.8583333333333,30.4561904761905
19-Nov-2021 17:45:00,2831.33,2946.8,342.98,13,0.120000000000005,342.98,343.1,58.0935897435897,32.8628205128205,54612,70.5525641025641,27.901282051282,30.5467948717949
19-Nov-2021 17:58:00,2750.2,2783.5,343.1,14,0.120000000000005,343.1,343.22,58.7761904761905,32.7964285714286,54612,70.5130952380952,27.9619047619048,30.6597619047619
19-Nov-2021 18:12:00,2829.03,2933.6,343.22,14,0.119999999999948,343.22,343.34,59.1630952380952,32.7321428571429,54612,70.2964285714286,28.0428571428571,30.790119047619
19-Nov-2021 18:26:00,2798.8,2995.8,343.34,13,0.110000000000014,343.34,343.45,59.6961538461538,32.6397435897436,54612,70.4025641025641,28.0833333333333,30.885
19-Nov-2021 18:39:00,2914.5,3084.4,343.45,15,0.189999999999998,343.45,343.64,59.9211111111111,32.5911111111111,54612,70.5677777777778,28.1344444444445,31.0088888888889
19-Nov-2021 18:54:00,2740.25,2769.5,343.64,13,0.0800000000000409,343.64,343.72,60.3602564102564,32.5179487179487,54612,70.6948717948718,28.2230769230769,31.2039743589744
