datetime,avg_power,max_power,avg_energy,minute_diff,energy_diff,out_humid,out_temp,out_light,next_humid,next_temp,next_heatindex,predicted_en_per_minute
18-Sep-2021 19:19:00,2629.9,2687.4,90.83,8,0.0600000000000023,74.5791666666667,30.6166666666667,0.0,74.3770833333333,25.3854166666667,26.041875,0.0118732285
18-Sep-2021 19:27:00,2710.95,2787.4,90.89,9,0.109999999999999,74.7518518518519,30.5981481481482,0.0,72.6666666666667,25.312962962963,25.8455555555556,0.010923089
18-Sep-2021 19:36:00,2767.37,2796.6,91.0,9,0.120000000000005,75.462962962963,30.5259259259259,0.0,73.3888888888889,25.3444444444444,25.9942592592593,0.011680405
18-Sep-2021 19:45:00,2616.4,2629.7,91.12,8,0.0799999999999983,81.0958333333333,30.0208333333333,0.0,74.31875,25.4166666666667,26.1297916666667,0.013551715
18-Sep-2021 19:53:00,2543.75,2585.9,91.2,9,0.0799999999999983,85.3185185185185,29.4185185185185,0.0,74.5740740740741,25.3259259259259,25.9792592592593,0.011885409
18-Sep-2021 20:02:00,2585.53,2670.9,91.28,9,0.0900000000000034,86.6833333333333,29.2185185185185,0.0,73.7481481481481,25.2777777777778,25.7862962962963,0.010822604
18-Sep-2021 20:11:00,2628.07,2685.1,91.37,9,0.0799999999999983,88.5074074074074,28.9333333333333,0.0,73.7685185185185,25.3092592592593,25.9148148148148,0.009605935
18-Sep-2021 20:20:00,2655.1,2691.6,91.45,9,0.0999999999999943,90.0759259259259,28.7407407407407,0.0,73.7740740740741,25.3388888888889,25.972962962963,0.008642053
18-Sep-2021 20:29:00,2563.63,2609.6,91.55,9,0.0799999999999983,90.4240740740741,28.7314814814815,0.0,74.4962962962963,25.3833333333333,25.9559259259259,0.008837085
18-Sep-2021 20:38:00,2592.65,2612.0,91.63,10,0.109999999999999,91.2066666666667,28.7066666666667,0.0,75.8,25.39,26.1963333333333,0.009306982
18-Sep-2021 20:48:00,2580.53,2587.8,91.74,10,0.0799999999999983,90.3933333333333,28.855,0.0,75.115,25.3133333333333,25.9801666666667,0.00975589
18-Sep-2021 20:58:00,2542.0,2558.0,91.82,9,0.0700000000000074,90.0703703703704,28.8203703703704,0.0,73.9037037037037,25.2777777777778,25.8383333333333,0.009140107
18-Sep-2021 21:07:00,2530.23,2592.9,91.89,9,0.0799999999999983,90.5222222222222,28.6925925925926,0.0,75.7074074074074,25.7833333333333,27.1446296296296,0.009637775
18-Sep-2021 21:16:00,2670.67,2767.7,91.97,10,0.0799999999999983,90.5,28.6583333333333,0.0,76.0883333333334,25.9116666666667,27.369,0.010034588
18-Sep-2021 21:26:00,2614.3,2677.4,92.05,9,0.0900000000000034,90.6166666666667,28.6537037037037,0.0,76.5092592592593,26.0166666666667,27.5635185185185,0.010526465
18-Sep-2021 21:35:00,2680.0,2881.4,92.14,10,0.120000000000005,90.3333333333333,28.6483333333333,0.0,76.8383333333333,26.1,27.7243333333333,0.010989911
18-Sep-2021 21:45:00,2567.7,2579.0,92.26,7,0.0599999999999881,90.3214285714286,28.6380952380953,0.0,77.1404761904762,26.152380952381,27.832619047619,0.011286282
18-Sep-2021 21:52:00,2620.77,2668.4,92.32,7,0.100000000000009,90.6761904761905,28.5595238095238,14.5714285714286,77.3571428571429,26.202380952381,27.9345238095238,0.011304165
18-Sep-2021 21:59:00,2613.8,2759.8,92.42,9,0.0799999999999983,91.9814814814815,28.5,15.0,77.6740740740741,26.2740740740741,28.0833333333333,0.011073051
18-Sep-2021 22:08:00,2715.9,2852.9,92.5,7,0.0799999999999983,92.204761904762,28.55,15.0,77.9190476190476,26.3119047619047,28.1676190476191,0.010974393
