,datetime,avg_power,max_power,avg_energy,minute_diff,energy_diff,energy_start,energy_stop,out_humid,out_temp,out_light,next_humid,next_temp,next_heatindex,predicted_en_per_minute,cal_energy_diff
4,17-Nov-2021 10:53:00,2817.57,2888.5,329.21,14,0.110000000000014,329.21,329.32,60.2869047619048,32.2785714285714,54612,66.1083333333333,25.202380952381,25.5038095238095,0.013792511,0.1930951550602913
5,17-Nov-2021 11:07:00,2786.23,2813.9,329.32,11,0.0799999999999841,329.32,329.4,56.7378787878788,32.7242424242424,54612,65.7287878787879,25.15,25.4368181818182,0.014608803,0.16069683525711298
6,17-Nov-2021 11:18:00,2806.6,2920.2,329.4,11,0.0600000000000023,329.4,329.46,55.25,33.0833333333333,54612,67.2378787878788,25.1636363636364,25.4909090909091,0.016354676,0.17990143969655037
7,17-Nov-2021 11:29:00,2018.7,86.1,329.46,13,0.120000000000005,329.46,329.58,55.0858974358974,33.2833333333333,54612,66.3833333333333,25.1435897435897,25.4471794871795,0.01644505,0.21378565020859241
8,17-Nov-2021 11:42:00,2769.1,2799.1,329.58,13,0.0800000000000409,329.58,329.66,53.8948717948718,33.6448717948718,54612,66.5666666666667,25.0846153846154,25.3864102564103,0.017697819,0.23007164150476456
9,17-Nov-2021 11:55:00,2832.13,2893.1,329.66,23,0.0999999999999659,329.66,329.76,53.7333333333333,33.6811594202899,54612,66.586231884058,25.0775362318841,25.379347826087,0.01781071,0.40964632481336594
10,17-Nov-2021 12:18:00,2864.03,2935.6,329.76,11,0.0500000000000114,329.76,329.81,52.5892307692308,33.7476923076923,54612,67.2712121212121,25.3924242424243,25.7433333333333,0.016852833,0.18538116663694382
11,17-Nov-2021 12:29:00,2020.6,83.2,329.81,14,0.120000000000005,329.81,329.93,52.3928571428571,33.9559523809524,54612,68.010843373494,26.0072289156627,27.2084337349398,0.014993846,0.20991384983062744
12,17-Nov-2021 12:43:00,2866.1,2913.2,329.93,12,0.0999999999999659,329.93,330.03,50.1097222222222,33.9861111111111,54612,68.3402777777778,26.4125,27.8183333333333,0.014123398,0.16948077455163002
13,17-Nov-2021 12:55:00,2813.27,2892.4,330.03,11,0.07000000000005,330.03,330.1,49.9257575757576,33.8166666666667,54612,68.6939393939394,26.6742424242424,28.2340909090909,0.013068857,0.14375742338597775
14,17-Nov-2021 13:06:00,2943.87,3080.4,330.1,12,0.0999999999999659,330.1,330.2,51.0069444444444,33.7236111111111,54612,68.8722222222222,26.9,28.6004166666667,0.012256704,0.1470804512500763
15,17-Nov-2021 13:18:00,2817.7,2854.5,330.2,12,0.0699999999999932,330.2,330.27,50.9472222222222,33.8083333333333,54612,69.0263888888889,27.0805555555556,28.9095833333333,0.011894059,0.14272871240973473
